Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,Product,class_code
2,2419503,"Eton Properties Philippines, Inc.",,One Archers Place,2311,Taft,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8017357,"Eton Properties Philippines, Inc.",,The Eton Residences,,Legazpi,St,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,9417928,"Eton Properties Philippines, Inc.",,Eton Emerald Loft,,F Ortigas Jr,Rd,Ortigas Center,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,8693887,"Eton Properties Philippines, Inc.",,Allied Bank Center,6754,Ayala,Ave,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8868296/4785479,"Eton Properties Philippines, Inc.",,Belton Place,,Yakal,St,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8019793/5515836,"Eton Properties Philippines, Inc.",,Eton Parkview Greenbelt,112,Gamboa,St,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8691536,"Eton Properties Philippines, Inc.",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,2567452/8693440,"Eton Properties Philippines, Inc.",,Eton Baypark Manila,,T M Kalaw Sr,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,2567458,"Eton Properties Philippines, Inc.",,8 Adriatico Tower 1,,Padre Faura,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,3722596,"Eton Properties Philippines, Inc.",,68 Roces Shophouse,68,Don a Roces,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,7061930,"Eton Properties Philippines, Inc.",,Eton Cyberpod Corinthian Bldg,,Ortigas,Ave,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,6435015,"ETSI Technologies, Inc.",,,,Mercedes Exec Vill,St,Mercedes Exec Vill,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,6435443/6435555,"ETSI Technologies, Inc.",,,,Mercedes,Ave,Mercedes Exec Vill,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,6437459/6435456,"ETSI Technologies, Inc.",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6435477/6435466,"ETSI Technologies, Inc.",,,,,,,,,MLABUS2016_MLABUSWP,
2,9420245,Eulogio Rodriguez Memorial Hospital,,,,Sumulong,Hwy,,Mkna,Metro Manila,MLABUS2016_MLABUSWP,
2,9327845/9520848,Eunice Incorporated,,,11,Don Jose,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8929440,Eurasia Match Inc,,Jaka Center,2111,Chino Roces,Ave,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,8447221,Eurasia Match Incorporated,,Jaka Building,6780,Ayala,Ave,Legaspi Village,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
2,5240575,Eurasiamquest Inc,,Femi 1 Building,,A Soriano Jr,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,8620698,Euro Advertising City Service,,,425,Rizal,St,,Munt,Metro Manila,MLABUS2016_MLABUSWP,
2,3636838/3654130,Euro Motor Parts & Trading Corporation,,,1135,Banawe,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,8175321,Euro Tech Resources Corporation,,Kings Court 2 Building,2127,Chino Roces,Ave,,Mkti,Metro Manila,MLABUS2016_MLABUSWP,
